ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNMUZFAMCT05;BTCT 52 semaines 14102025;1 530;1,499;19;7,400
TN0008000622;BTA 6,3% Mars 2026;14 896;15,000;31;7,600
TN0008000747;BTA 7,2% Mai 2027;38 805;37,999;75;8,400
TN0008000747;BTA 7,2% Mai 2027;10 212;10,000;75;8,400
TN0008000747;BTA 7,2% Mai 2027;2 246;2,199;75;8,400
TNNC6SZ1UFM6;BTA 9,37% 22 juin 2029;4 876;4,900;336;8,540
TNNC6SZ1UFM6;BTA 9,37% 22 juin 2029;6 967;7,000;336;8,530
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;14 500;1,450;10;8,600
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;67 500;6,750;17;8,600
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;11 500;11,397;90;7,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;46 898;5,000;10;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;18 759;2,000;10;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;23 449;2,500;7;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;21 573;2,300;11;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;18 759;2,000;11;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;40 000;4,000;203;8,250
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;5 371;5,500;265;8,000
