ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;10286;9,999;90;8,4
TN0008000721;BTA 7,2% Fevrier 2027;22630;22,0;90;8,4
TN0008000721;BTA 7,2% Fevrier 2027;7714;7,499;90;8,4
TN0008000721;BTA 7,2% Fevrier 2027;1645;1,599;91;8,3
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3801;0,4;22;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5702;0,6;32;7,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4751;0,5;22;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2851;0,3;22;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2851;0,3;11;8,91
TNLRQIP0OJY4;BTA 9% septembre 2029;11763;12,001;40;9,0
TNLRQIP0OJY4;BTA 9% septembre 2029;6862;7,001;40;9,0
TNVE955M6R90;EMP NAT 2023 T3 CB TF;11500;1,212;112;8,49
TNKF195OZHN9;TAYSIR 2023-1 TF;10000;0,8;183;9,15
TN46TGZRABR7;TAYSIR 2023-1 TV;20000;1,6;183;9,15
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5702;0,6;6;8,91
TN0008000812;BTA 7,5% 13/12/2028;6559;6,25;5;7,55
TNPDPODY2398;EMP NAT 2024 T3 CC TF;8700;0,87;40;8,49
TNPDPODY2398;EMP NAT 2024 T3 CC TF;6450;0,645;20;8,29
TNPDPODY2398;EMP NAT 2024 T3 CC TF;67000;6,7;13;8,99
TN0008000812;BTA 7,5% 13/12/2028;287;0,3;40;8,25
TNGNCCQYSMR1;BTA 9.9% decembre 2033;4844;4,999;90;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9502;1,0;26;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3801;0,4;90;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9502;1,0;8;8,91
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;89;0,085;32;7,5
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;773;0,74;32;7,5
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;17;0,016;32;7,5
