ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;5 000;0,500;180;9,740
TN0008000739;BTA 7,4% Fevrier 2030;14 018;15,000;10;9,630
TN0008000606;BTA 6,7% Avril 2028;5 238;5,512;31;9,590
TN0008000747;BTA 7,2% Mai 2027;16 197;16,229;90;9,030
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9 670;1,000;10;8,990
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9 670;1,000;31;8,990
TN0008000812;BTA 7,5% 13/12/2028;3 399;3,500;10;8,250
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;58 016;6,000;17;8,990
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;3 983;4,000;347;8,990
