ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNAPCAA3FQ18;BTCT 52 semaines 26022026;1160;1,099;121;7,75
TN0008000606;BTA 6,7% Avril 2028;34746;35,254;33;8,7
TN0008000606;BTA 6,7% Avril 2028;4963;5,036;33;8,7
TN0008000622;BTA 6,3% Mars 2026;8826;9,0;33;8,77
TN0008000606;BTA 6,7% Avril 2028;822;0,835;33;8,5
TN0008000606;BTA 6,7% Avril 2028;246;0,25;26;7,25
TN0008000606;BTA 6,7% Avril 2028;985;1,0;92;8,0
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;2195;2,3;90;7,5
TN0HHORW0CG7;BTCT 52 semaines 19052026;26899;25,0;89;8,0
TN0008000812;BTA 7,5% 13/12/2028;581;0,626;12;7,5
TN0008000812;BTA 7,5% 13/12/2028;532;0,573;12;7,5
TN0008000812;BTA 7,5% 13/12/2028;3205;3,456;12;7,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4896;0,5;30;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;34268;3,5;121;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1959;0,2;12;8,5
TN0008000721;BTA 7,2% Fevrier 2027;6500;6,5;182;8,5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;80000;8,0;13;8,6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;66500;6,65;14;8,6
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;10000;1,0;8;8,6
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;10000;1,0;7;8,6
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;18700;2,0;1;7,5
TN0008000663;BTA 7,5% Juillet 2032;2770;3,0;1;7,5
