ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000739;BTA 7,4% Fevrier 2030;15 823;15,000;29;7,600
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;22 000;2,200;40;8,000
TN0008000622;BTA 6,3% Mars 2026;1 472;1,500;19;8,500
TN0008000622;BTA 6,3% Mars 2026;8 199;8,350;20;7,650
TN0008000580;BTA 6,3% Octobre 2026;5 172;5,400;20;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;18 000;1,800;40;8,000
TN0008000739;BTA 7,4% Fevrier 2030;2 922;3,000;12;8,500
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;95 400;9,540;13;8,600
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;20 400;2,040;8;8,600
TN0008000739;BTA 7,4% Fevrier 2030;779;0,800;9;8,500
TN0008000739;BTA 7,4% Fevrier 2030;5 844;6,000;12;8,500
TN0008000762;BTA 8% Novembre 2030;3 562;3,501;29;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;95 890;10,000;12;8,500
TNMUZFAMCT05;BTCT 52 semaines 14102025;8 910;8,700;33;8,350
TN0HHORW0CG7;BTCT 52 semaines 19052026;323;0,300;180;7,920
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;8 631;0,900;12;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;76 712;8,000;26;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;17 261;1,800;21;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;28 767;3,000;7;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;19 178;2,000;29;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;14 384;1,500;29;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;117 945;12,300;19;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;120 821;12,600;12;8,500
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;18 700;2,000;5;7,500
TN0008000838;EMP NAT T1 2021 CB;27 700;3,000;5;7,500
TN0008000580;BTA 6,3% Octobre 2026;144;0,150;61;7,500
