ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;12000;1,217;294;8,49
TNL8PGUB9C93;AMEN BANK SUB 2023-2 CA TV;20000;1,6;62;8,49
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;11000;1,1;62;8,49
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;6000;0,6;62;8,49
TNAAGB5WL0L0;BH LEASING 2024-2;6000;0,6;62;8,49
TN0008000721;BTA 7,2% Fevrier 2027;400;0,4;62;8,49
TN0008000606;BTA 6,7% Avril 2028;499;0,5;4;8,91
TN0008000606;BTA 6,7% Avril 2028;2298;2,3;73;9,15
TN0008000747;BTA 7,2% Mai 2027;1827;1,95;10;7,5
TN0008000747;BTA 7,2% Mai 2027;140;0,15;11;7,5
TN0008000747;BTA 7,2% Mai 2027;5434;5,8;10;7,5
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1550;1,6;90;8,0
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;30000;3,0;231;8,59
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;809;0,831;31;7,91
TN0008000747;BTA 7,2% Mai 2027;937;1,0;10;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;56853;6,0;4;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28427;3,0;12;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;7581;0,8;12;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5802;0,6;10;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1451;0,15;17;8,91
TNX0K9990B08;EMP NAT 2024 T2 CB TF;76200;7,62;12;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8500;0,85;14;8,99
TN0008000812;BTA 7,5% 13/12/2028;501;0,525;12;7,91
TN0008000812;BTA 7,5% 13/12/2028;610;0,64;10;8,25
TN0008000812;BTA 7,5% 13/12/2028;239;0,25;10;8,25
TN0008000812;BTA 7,5% 13/12/2028;267;0,28;10;8,25
TN0008000812;BTA 7,5% 13/12/2028;3431;3,6;10;8,25
TN0008000747;BTA 7,2% Mai 2027;2931;3,0;12;8,5
TN0008000747;BTA 7,2% Mai 2027;1954;2,0;12;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29006;3,0;12;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19337;2,0;12;8,5
TN0008000721;BTA 7,2% Fevrier 2027;1100;1,1;31;9,66
TN0008000721;BTA 7,2% Fevrier 2027;1400;1,4;31;9,66
