ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;7923;0,82;14;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9662;1,0;30;8,99
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;9813;10,0;91;9,24
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;15500;1,55;9;9,09
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;8599;0,89;30;8,24
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;8165;0,845;30;8,24
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;72463;7,5;15;8,99
TN0008000655;BTA 6,6% Mars 2027;501;0,5;30;9,0
TNGNCCQYSMR1;BTA 9.9% decembre 2033;25711;26,07;91;9,0
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10000;1,0;30;8,74
TN0008000747;BTA 7,2% Mai 2027;4280;4,5;77;9,11
TN0008000747;BTA 7,2% Mai 2027;10;0,01;9;9,8
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5314;0,55;148;9,84
TN0008000812;BTA 7,5% 13/12/2028;534;0,55;21;8,25
TN0008000812;BTA 7,5% 13/12/2028;243;0,25;21;8,25
TN0008000812;BTA 7,5% 13/12/2028;272;0,28;21;8,25
TN0008000812;BTA 7,5% 13/12/2028;1067;1,0;10;9,23
