ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;518;0,550;139;8,000
TNVE955M6R90;EMP NAT 2023 T3 CB TF;9 700;0,970;10;8,600
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;67 500;6,750;15;8,600
TN0008000812;BTA 7,5% 13/12/2028;930;0,930;90;8,250
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;20 400;2,040;90;8,250
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;2 500;0,250;269;8,750
TN0008000812;BTA 7,5% 13/12/2028;367;0,400;34;7,750
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;18 923;2,000;22;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;14 192;1,500;10;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;23 654;2,500;9;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;47 307;5,000;31;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;52 965;5,598;13;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;22 708;2,400;30;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;56 768;6,000;6;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;3 312;0,350;76;8,500
