ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000770;BTA 7,3% Decembre 2027;811,0;0,835;31,0;8,5
TN0008000606;BTA 6,7% Avril 2028;35659,0;35,781;31,0;8,7
TN0008000606;BTA 6,7% Avril 2028;5094,0;5,112;31,0;8,7
TN0008000622;BTA 6,3% Mars 2026;8919,0;9,0;31,0;8,77
TN0008000580;BTA 6,3% Octobre 2026;1186,0;1,227;31,0;8,4
TN0008000606;BTA 6,7% Avril 2028;3587,0;3,6;343,0;8,0
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2828,0;0,3;3,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4714,0;0,5;31,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1886,0;0,2;14,0;7,0
TN0008000762;BTA 8% Novembre 2030;11468,0;11,0;25,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;75414,0;8,0;25,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;136687,0;14,5;31,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;75414,0;8,0;10,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;30166,0;3,2;90,0;8,5
TN0008000762;BTA 8% Novembre 2030;3128,0;3,0;31,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;10370,0;1,1;66,0;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;17305,0;1,8;10,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28280,0;3,0;31,0;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19228,0;2,0;31,0;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10576,0;1,1;19,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;12255,0;1,3;10,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;53732,0;5,7;90,0;8,5
