ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3885;0,4;25;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4856;0,5;25;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5827;0,6;25;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;7769;0,8;11;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29131;3,0;11;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;38792;4,0;10;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;198808;20,5;10;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;39905;4,2;30;8,41
TN0008000622;BTA 6,3% Mars 2026;8364;8,2;30;8,25
TN0008000622;BTA 6,3% Mars 2026;5100;5,0;30;8,25
TN0008000622;BTA 6,3% Mars 2026;1428;1,4;30;8,25
TN0008000622;BTA 6,3% Mars 2026;222;0,218;30;8,25
TN0008000622;BTA 6,3% Mars 2026;124;0,122;30;8,25
TN0008000622;BTA 6,3% Mars 2026;1530;1,5;30;8,25
TNGNCCQYSMR1;BTA 9.9% decembre 2033;26836;27,7;7;8,0
TN0008000747;BTA 7,2% Mai 2027;187;0,2;30;7,25
TN0008000747;BTA 7,2% Mai 2027;3582;3,815;30;8,81
TN0008000747;BTA 7,2% Mai 2027;563;0,6;30;8,0
TN0008000762;BTA 8% Novembre 2030;29774;30,691;25;9,56
TN0008000812;BTA 7,5% 13/12/2028;526;0,55;10;8,25
TN0008000812;BTA 7,5% 13/12/2028;3345;3,5;10;8,25
TN0008000812;BTA 7,5% 13/12/2028;630;0,6;10;9,23
TN0008000812;BTA 7,5% 13/12/2028;268;0,28;10;8,25
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;15000;1,5;15;8,2
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;25000;2,5;18;8,2
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;66508;7,0;18;8,91
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;9500;0,95;14;8,99
TN0008000622;BTA 6,3% Mars 2026;10200;10,0;30;8,25
TNGNCCQYSMR1;BTA 9.9% decembre 2033;2034;2,099;3;7,75
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;63000;6,3;14;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;15000;1,5;4;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;13000;1,3;9;8,99
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;5013;4,8;14;8,66
TN0008000812;BTA 7,5% 13/12/2028;2032;1,937;248;8,91
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;2000;0,2;77;9,25
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;3198;3,062;297;8,91
TN0008000812;BTA 7,5% 13/12/2028;239;0,25;10;8,25
TNNR35P1MXQ0;BTC 52 semaines 02052025;90000;89,446;10;8,0
TN0008000721;BTA 7,2% Fevrier 2027;3499;3,4;305;8,5
