ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNL8PGUB9C93;AMEN BANK SUB 2023-2 CA TV;11 250;0,900;30;9,250
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;76 039;8,000;21;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;9 505;1,000;22;8,500
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;5 000;0,500;35;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2 800;0,280;35;8,500
TN0008000622;BTA 6,3% Mars 2026;4 845;4,900;30;7,600
TN0008000622;BTA 6,3% Mars 2026;1 473;1,490;30;7,600
TN0008000622;BTA 6,3% Mars 2026;227;0,230;30;7,600
TN0008000622;BTA 6,3% Mars 2026;127;0,128;30;7,600
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;9 000;0,900;30;9,250
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;4 753;0,500;10;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;18 664;2,000;10;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;9 505;1,000;30;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;7 604;0,800;10;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;14 258;1,500;30;8,500
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;67 500;6,750;14;8,600
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;10 750;1,075;8;8,600
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;10 000;1,000;9;8,600
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;65 000;6,500;13;8,600
TN0008000580;BTA 6,3% Octobre 2026;238;0,250;31;7,250
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;951;0,100;48;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;7 604;0,800;90;8,500
TN0008000796;BTA 7,5% Janvier 2028;10 700;11,038;90;8,500
