ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000747;BTA 7,2% Mai 2027;15065;14,999;88;9,29
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;80000;8,0;15;9,2
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;18430;2,002;15;9,1
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9414;1,0;88;8,75
TNX0K9990B08;EMP NAT 2024 T2 CB TF;26951;2,86;90;8,99
TN0008000770;BTA 7,3% Decembre 2027;298;0,3;180;7,7
TN0008000770;BTA 7,3% Decembre 2027;1492;1,5;180;7,7
TN0008000812;BTA 7,5% 13/12/2028;329;0,336;13;7,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;37655;4,0;90;8,99
TNGNCCQYSMR1;BTA 9.9% decembre 2033;5954;6,001;20;8,25
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;7450;8,0;7;7,99
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;2777;2,8;7;7,99
TN0008000705;BTA 6,5% Juin 2025;14650;15,036;32;8,84
TN0008000762;BTA 8% Novembre 2030;10748;10,0;270;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2828;0,3;32;8,49
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;30000;3,0;92;9,1
TN0008000812;BTA 7,5% 13/12/2028;4881;5,0;5;8,25
TNX0K9990B08;EMP NAT 2024 T2 CB TF;35809;3,8;32;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;35000;3,5;92;9,1
TNX0K9990B08;EMP NAT 2024 T2 CB TF;17434;1,85;18;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;18847;2,0;18;8,99
TN0008000812;BTA 7,5% 13/12/2028;8785;9,0;6;8,25
TN0008000812;BTA 7,5% 13/12/2028;8785;9,0;7;8,25
TN0008000812;BTA 7,5% 13/12/2028;8785;9,0;8;8,25
TN0008000812;BTA 7,5% 13/12/2028;8785;9,0;11;8,25
TN0008000812;BTA 7,5% 13/12/2028;8785;9,0;12;8,25
TN0008000812;BTA 7,5% 13/12/2028;8785;9,0;13;8,25
TN0008000812;BTA 7,5% 13/12/2028;2929;3,0;15;8,25
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;9000;0,9;20;9,0
TN0008000812;BTA 7,5% 13/12/2028;2147;2,001;60;9,09
TNX0K9990B08;EMP NAT 2024 T2 CB TF;94234;10,0;20;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;56541;6,0;62;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;169621;18,0;62;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4707;0,5;7;7,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;226162;24,0;42;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;326992;34,7;32;8,99
TN0008000812;BTA 7,5% 13/12/2028;10732;10,0;20;8,99
TN0008000812;BTA 7,5% 13/12/2028;11484;10,701;32;8,99
TN0008000812;BTA 7,5% 13/12/2028;25757;24,001;62;8,99
TN0008000762;BTA 8% Novembre 2030;25794;24,0;42;8,99
TN0008000762;BTA 8% Novembre 2030;25794;24,0;32;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;18847;2,0;8;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;37694;4,0;15;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;25444;2,7;20;8,99
TN0008000606;BTA 6,7% Avril 2028;2071;1,999;60;9,09
