ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000812;BTA 7,5% 13/12/2028;531;0,554;15;7,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5716;0,6;30;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9526;1,0;93;9,84
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;171453;18,0;14;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28576;3,0;14;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4763;0,5;123;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;7621;0,8;74;8,99
TN0008000663;BTA 7,5% Juillet 2032;1901;2,0;92;9,84
TN0008000747;BTA 7,2% Mai 2027;3294;3,5;21;8,99
TN0008000747;BTA 7,2% Mai 2027;2163;2,2;2;7,99
TN0008000747;BTA 7,2% Mai 2027;11700;11,899;2;7,99
TN0008000747;BTA 7,2% Mai 2027;18681;18,999;2;7,99
TN0008000812;BTA 7,5% 13/12/2028;527;0,55;14;8,25
TN0008000812;BTA 7,5% 13/12/2028;240;0,25;14;8,25
TN0008000812;BTA 7,5% 13/12/2028;269;0,28;14;8,25
TN0008000812;BTA 7,5% 13/12/2028;1437;1,5;14;8,25
TN0008000812;BTA 7,5% 13/12/2028;3352;3,5;14;8,25
TNN34MAL82X0;MICROCRED 2024-1 TF;18000;1,8;30;9,64
TNFGSJPDAWE9;ENDA TAMWEEL 2023-1 CA TV;15000;1,2;30;9,64
TNAAGB5WL0L0;BH LEASING 2024-2;5000;0,5;30;9,64
TNPDPODY2398;EMP NAT 2024 T3 CC TF;10500;1,05;15;9,1
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;60000;6,0;15;9,1
TN0008000812;BTA 7,5% 13/12/2028;450;0,45;15;9,1
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;47626;5,0;10;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2525;0,265;10;7,49
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2763;0,29;32;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;19051;2,0;22;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;487;0,499;98;7,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;82869;8,7;22;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5362;5,499;30;8,25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;195;0,2;30;7,5
