ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5000;0,5;57;9,1
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;48271;5,0;20;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3862;0,4;15;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9655;1,0;15;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;43444;4,5;15;8,99
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;7500;0,75;11;9,1
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;60000;6,0;11;9,1
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;52500;5,25;12;9,1
TN0008000655;BTA 6,6% Mars 2027;801;0,8;40;9,0
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28963;3,0;20;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;48271;5,0;97;9,84
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;38617;4,0;8;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;26067;2,7;6;8,99
TN0008000739;BTA 7,4% Fevrier 2030;4675;5,0;11;8,99
TN0008000796;BTA 7,5% Janvier 2028;39022;39,05;32;9,64
TN0008000622;BTA 6,3% Mars 2026;1893;2,0;22;8,99
TN0008000812;BTA 7,5% 13/12/2028;1358;1,4;21;8,25
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4828;0,5;15;8,99
