ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000739;BTA 7,4% Fevrier 2030;1459;1,5;62;7,6
TN0008000739;BTA 7,4% Fevrier 2030;291;0,3;183;7,5
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;50000;5,0;13;8,6
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;10000;1,0;7;8,6
TN0008000606;BTA 6,7% Avril 2028;5660;5,742;31;9,1
TN0008000812;BTA 7,5% 13/12/2028;929;1,0;30;7,75
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4897;0,5;7;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;78346;8,0;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9794;1,0;314;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;3918;0,4;55;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19587;2,0;30;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;39173;4,0;30;8,5
TN0008000721;BTA 7,2% Fevrier 2027;1001;1,001;183;8,5
TN0008000721;BTA 7,2% Fevrier 2027;2001;2,001;183;8,5
TN0008000762;BTA 8% Novembre 2030;4065;4,0;30;8,5
TN0008000762;BTA 8% Novembre 2030;2033;2,001;30;8,5
TNMUZFAMCT05;BTCT 52 semaines 14102025;1535;1,501;30;7,09
TN0008000663;BTA 7,5% Juillet 2032;2770;3,0;1;7,5
TN0008000747;BTA 7,2% Mai 2027;2267;2,2;10;7,5
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;18700;2,0;1;7,5
TN0008000747;BTA 7,2% Mai 2027;36068;34,999;10;7,5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;65000;6,5;30;9,75
TN0008000747;BTA 7,2% Mai 2027;10305;10,0;10;7,5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;55000;5,5;30;9,75
