ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNN34MAL82X0;MICROCRED 2024-1 TF;20000;2,0;31;9,66
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;7800;0,823;34;8,49
TN0008000606;BTA 6,7% Avril 2028;5633;5,645;5;9,51
TN0008000747;BTA 7,2% Mai 2027;5287;5,65;10;7,5
TN0008000622;BTA 6,3% Mars 2026;8117;7,999;20;7,8
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;33840;3,5;7;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;87017;9,0;10;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;7735;0,8;31;8,41
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9669;1,0;31;8,41
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;49500;4,95;13;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;6700;0,67;13;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19337;2,0;7;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;67680;7,0;10;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4835;0,5;10;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2901;0,3;10;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4835;0,5;7;8,91
