ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23783;2,55;7;8,0
TN0008000812;BTA 7,5% 13/12/2028;500;0,5;12;8,3
TN0008000838;EMP NAT T1 2021 CB;15000;1,5;12;8,3
TN0008000762;BTA 8% Novembre 2030;4121;4,0;40;8,49
TN0008000796;BTA 7,5% Janvier 2028;5215;5,0;33;8,74
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14742;1,5;11;8,99
TN0008000747;BTA 7,2% Mai 2027;57206;57,649;40;9,02
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;6880;0,7;32;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;73709;7,5;15;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;31449;3,2;20;8,99
