ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000655;BTA 6,6% Mars 2027;20753;20,001;45;8,5
TN0008000747;BTA 7,2% Mai 2027;5795;5,8;11;7,25
TN0008000747;BTA 7,2% Mai 2027;249;0,25;13;7,25
TN0008000606;BTA 6,7% Avril 2028;894;0,9;329;8,0
TNX0K9990B08;EMP NAT 2024 T2 CB TF;30500;3,05;10;8,75
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6985;0,7;180;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;28200;2,82;276;9,09
TN0008000812;BTA 7,5% 13/12/2028;471;0,5;4;7,5
TN0008000812;BTA 7,5% 13/12/2028;1225;1,3;4;7,5
TN0008000838;EMP NAT T1 2021 CB;7450;0,745;13;7,25
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8980;0,9;25;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;73633;7,38;361;9,95
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9978;1,0;354;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6985;0,7;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9978;1,0;31;8,5
TN0008000606;BTA 6,7% Avril 2028;160;0,15;91;8,0
TN0008000606;BTA 6,7% Avril 2028;138;0,129;91;8,0
TN0008000606;BTA 6,7% Avril 2028;2243;2,099;91;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14967;1,5;31;7,0
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14967;1,5;31;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;89797;9,0;349;8,91
