ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000606;BTA 6,7% Avril 2028;17918;16,589;120;8,52
TN0008000747;BTA 7,2% Mai 2027;1029;1,1;8;8,91
TN0008000622;BTA 6,3% Mars 2026;992;1,0;18;8,91
TNX0K9990B08;EMP NAT 2024 T2 CB TF;30500;3,05;11;8,75
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;175;0,18;11;7,91
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7500;0,75;13;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;59000;5,9;13;8,99
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;4000;0,422;35;8,49
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;166;0,171;11;7,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;96710;10,0;11;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;193420;20,0;29;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48262;5,0;11;8,41
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;966;0,1;11;8,91
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1451;1,5;29;7,5
