ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;40000;4,0;30;8,99
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;30000;3,0;30;8,99
TN0008000580;BTA 6,3% Octobre 2026;198;0,201;17;7,99
TN0008000580;BTA 6,3% Octobre 2026;296;0,3;48;7,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;16877;1,7;30;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;39743;39,999;35;8,99
TN0008000721;BTA 7,2% Fevrier 2027;8954;10,0;14;8,25
TN0008000721;BTA 7,2% Fevrier 2027;1344;1,5;7;8,25
TN0008000721;BTA 7,2% Fevrier 2027;1344;1,5;8;8,25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;84455;84,999;30;8,99
TN0008000721;BTA 7,2% Fevrier 2027;1791;2,0;9;8,25
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;39710;4,0;30;8,99
TN0008000697;BTA 7% Juillet 2028;1572;1,501;30;8,99
TNLRQIP0OJY4;BTA 9% septembre 2029;5010;5,001;18;8,99
TN0008000655;BTA 6,6% Mars 2027;3022;3,0;30;9,2
TN0008000721;BTA 7,2% Fevrier 2027;6268;7,0;7;8,25
TN0008000721;BTA 7,2% Fevrier 2027;5373;6,0;7;8,25
TN0008000721;BTA 7,2% Fevrier 2027;4477;5,0;7;8,25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;14754;14,849;7;8,15
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23541;2,5;7;8,0
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9928;1,0;21;7,49
TN0008000747;BTA 7,2% Mai 2027;955;1,0;10;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1986;0,2;21;7,49
TN0008000606;BTA 6,7% Avril 2028;84;0,081;63;8,5
TN0008000606;BTA 6,7% Avril 2028;741;0,716;63;8,5
TN0008000606;BTA 6,7% Avril 2028;16;0,015;63;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;49637;5,0;18;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;74519;74,999;88;9,15
TN0008000655;BTA 6,6% Mars 2027;6545;6,5;30;9,2
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;5000;0,5;157;9,1
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5000;0,5;80;9,1
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;15500;1,55;10;9,14
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;25000;2,5;157;9,1
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;25000;2,5;333;9,4
TN0008000622;BTA 6,3% Mars 2026;1520;1,6;30;8,2
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;30000;3,0;80;8,99
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;10000;1,0;31;9,0
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;100000;10,0;15;9,1
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;100000;10,0;14;9,1
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8935;0,9;14;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;27797;2,8;18;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8439;0,85;10;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4964;0,5;42;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1490;0,15;102;8,99
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;80000;8,0;182;9,1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;11500;1,15;10;9,6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;68600;6,86;10;9,6
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;20000;2,0;24;9,0
TN0008000622;BTA 6,3% Mars 2026;41632;43,8;30;8,99
TN0008000747;BTA 7,2% Mai 2027;1814;1,9;30;8,8
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;129055;13,0;15;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;993;0,999;78;8,99
