ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;11 859;12,000;131;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;179 700;18,000;31;8,990
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;50 000;5,000;180;9,390
TNAAGB5WL0L0;BH LEASING 2024-2;4 000;0,400;31;9,640
TNZW31OFWNB5;MICROCRED 2024-1 TV;7 000;0,700;31;9,640
TNN34MAL82X0;MICROCRED 2024-1 TF;19 000;1,900;31;9,640
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5 298;5,401;31;8,250
TNX0K9990B08;EMP NAT 2024 T2 CB TF;18 600;2,000;20;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;19 967;2,000;17;8,990
TN0008000812;BTA 7,5% 13/12/2028;2 118;2,000;17;8,990
TN0008000622;BTA 6,3% Mars 2026;2 830;3,000;13;8,990
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10 000;1,000;7;9,100
TNX0K9990B08;EMP NAT 2024 T2 CB TF;75 000;7,500;13;9,100
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10 000;1,000;10;9,100
TN0008000812;BTA 7,5% 13/12/2028;424;0,400;60;9,090
TN0008000747;BTA 7,2% Mai 2027;396;0,400;60;9,090
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 300;1,000;18;8,990
TN0008000812;BTA 7,5% 13/12/2028;2 648;2,501;62;9,000
TN0008000580;BTA 6,3% Octobre 2026;8 607;8,800;181;8,990
TN0008000622;BTA 6,3% Mars 2026;566;0,600;5;8,990
