ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000812;BTA 7,5% 13/12/2028;11 762;11,001;53;9,000
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;25 000;2,500;322;9,400
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;55 000;5,500;73;9,100
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;14 150;1,502;49;9,100
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;80 000;8,000;6;9,100
TN0008000747;BTA 7,2% Mai 2027;953;1,000;90;9,840
TN0008000747;BTA 7,2% Mai 2027;285;0,300;41;7,500
TN0008000812;BTA 7,5% 13/12/2028;7 295;7,500;4;8,250
TN0008000812;BTA 7,5% 13/12/2028;1 070;1,000;10;9,230
TN0008000812;BTA 7,5% 13/12/2028;3 248;3,339;24;7,990
TN0008000812;BTA 7,5% 13/12/2028;587;0,603;24;7,990
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;3 800;0,380;150;8,990
TN0008000812;BTA 7,5% 13/12/2028;423;0,434;24;7,990
