ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000762;BTA 8% Novembre 2030;566;0,600;18;7,000
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;1 341;1,400;91;8,150
TN0008000770;BTA 7,3% Decembre 2027;991;1,000;91;8,000
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;19 500;1,950;10;8,750
TNN34MAL82X0;MICROCRED 2024-1 TF;12 500;1,000;10;8,750
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;60 000;6,000;15;8,600
TNVE955M6R90;EMP NAT 2023 T3 CB TF;17 500;1,750;10;8,600
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;8 300;0,830;91;8,250
TN0008000770;BTA 7,3% Decembre 2027;2 857;3,001;7;7,000
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;2 839;0,300;15;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;13 719;1,450;7;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;2 839;0,300;7;7,000
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;18 923;2,000;30;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;76 635;8,100;21;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;12 300;1,300;21;8,500
TN0008000721;BTA 7,2% Fevrier 2027;175;0,181;91;7,500
