ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNX0K9990B08;EMP NAT 2024 T2 CB TF;7 914;0,800;14;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;24 729;2,500;90;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 892;1,000;7;8,500
TNAAGB5WL0L0;BH LEASING 2024-2;1 000;0,100;29;9,250
TN54R4G06T00;ENDA TAMWEEL 2023-1 CA TF;10 000;0,800;29;9,250
TNAAGB5WL0L0;BH LEASING 2024-2;5 000;0,500;32;9,250
TNZW31OFWNB5;MICROCRED 2024-1 TV;7 000;0,700;32;9,250
TN0008000812;BTA 7,5% 13/12/2028;1 638;1,750;13;7,750
TNLRQIP0OJY4;BTA 9% septembre 2029;18;0,019;60;7,000
TN0008000762;BTA 8% Novembre 2030;3 081;2,999;12;7,500
TNLRQIP0OJY4;BTA 9% septembre 2029;81;0,084;60;7,000
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10 000;1,000;12;8,600
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;52 500;5,250;19;8,600
TNLRQIP0OJY4;BTA 9% septembre 2029;671;0,700;60;7,000
TN0008000812;BTA 7,5% 13/12/2028;4 866;5,200;13;7,750
TNX0K9990B08;EMP NAT 2024 T2 CB TF;79 133;8,000;19;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 892;1,000;12;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14 838;1,500;18;8,500
TN0008000762;BTA 8% Novembre 2030;767;0,800;14;8,500
TN0008000762;BTA 8% Novembre 2030;479;0,500;90;8,150
TN0008000762;BTA 8% Novembre 2030;3 838;4,000;7;8,500
