ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000747;BTA 7,2% Mai 2027;1228;1,3;30;8,1
TN0008000747;BTA 7,2% Mai 2027;944;1,0;30;8,2
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5000;5,0;210;9,1
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;296;0,3;26;7,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5871;0,6;30;8,24
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;148;0,15;16;7,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;24462;2,5;30;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;34247;3,5;12;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4893;0,5;90;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;37183;3,8;30;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;7828;0,8;6;8,99
TN0008000747;BTA 7,2% Mai 2027;2173;2,199;7;8,49
TN0008000747;BTA 7,2% Mai 2027;11855;12,0;7;8,49
TN0008000747;BTA 7,2% Mai 2027;18771;19,0;7;8,49
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5500;0,55;13;9,1
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;92500;9,25;13;9,1
TN0008000606;BTA 6,7% Avril 2028;377;0,4;23;7,5
TN0008000721;BTA 7,2% Fevrier 2027;44235;44,432;30;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;26419;2,7;19;8,99
TN0008000721;BTA 7,2% Fevrier 2027;18442;17,78;30;8,84
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;97848;10,0;23;8,99
TN0008000812;BTA 7,5% 13/12/2028;1057;1,001;105;9,0
TN0008000812;BTA 7,5% 13/12/2028;20073;19,0;20;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;107633;11,0;20;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;78279;8,0;20;8,99
