ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;30 000;3 000;30;8 000
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;26 928;2 800;30;8 500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19 234;2 000;21;8 500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 847;0 400;14;8 500
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;6 300;0 630;10;8 600
TN0008000606;BTA 6,7% Avril 2028;1 892;1 900;90;8 400
TN0008000663;BTA 7,5% Juillet 2032;2 897;3 000;36;8 500
TN0008000838;EMP NAT T1 2021 CB;2 750;0 275;20;9 500
TNPDPODY2398;EMP NAT 2024 T3 CC TF;76 000;7 600;13;8 600
