ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000721;BTA 7,2% Fevrier 2027;1 100;1 100;32;9 250
TNFGSJPDAWE9;ENDA TAMWEEL 2023-1 CA TV;12 500;1 000;32;9 250
TN0008000721;BTA 7,2% Fevrier 2027;1 000;1 000;32;9 250
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;86 000;8 600;15;8 600
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;20 000;2 000;12;8 600
TN0008000721;BTA 7,2% Fevrier 2027;400;0 400;32;9 250
TN0008000606;BTA 6,7% Avril 2028;3 168;3 000;11;7 250
TN0008000606;BTA 6,7% Avril 2028;197;0 200;40;7 250
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;22 104;2 300;11;8 500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;19 221;2 000;11;8 500
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;18 700;2 000;1;7 500
TN0008000838;EMP NAT T1 2021 CB;27 700;3 000;1;7 500
