ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;167;0,17;13;7,99
TN0008000812;BTA 7,5% 13/12/2028;288;0,3;40;8,25
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;30500;3,05;11;9,09
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;177;0,18;13;7,99
TN0008000747;BTA 7,2% Mai 2027;1911;2,03;31;8,89
TN0008000747;BTA 7,2% Mai 2027;2581;2,74;31;8,89
TN0008000663;BTA 7,5% Juillet 2032;951;1,0;90;9,84
TN0008000606;BTA 6,7% Avril 2028;4235;4,5;13;7,8
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;19069;2,0;12;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14302;1,5;12;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14302;1,5;31;7,49
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14302;1,5;31;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9535;1,0;31;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;66741;7,0;24;8,99
