ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000812;BTA 7,5% 13/12/2028;953;1 100;330;8 590
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;11 886;1 200;5;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8 113;0 820;12;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;39 576;4 000;30;8 990
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5 000;0 500;57;9 000
TN0008000812;BTA 7,5% 13/12/2028;2 725;2 800;26;8 250
TN0008000812;BTA 7,5% 13/12/2028;4 570;4 601;331;8 990
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;4 600;0 460;15;9 600
TN0008000812;BTA 7,5% 13/12/2028;329;0 337;13;7 990
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;990;0 999;50;8 400
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1 486;1 500;120;8 750
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;990;0 999;120;8 750
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2 279;2 300;30;8 250
TNAAGB5WL0L0;BH LEASING 2024-2;6 000;0 600;90;8 990
TN0008000812;BTA 7,5% 13/12/2028;10 412;10 700;21;8 250
TN0008000812;BTA 7,5% 13/12/2028;1 947;2 000;6;8 250
TN0008000812;BTA 7,5% 13/12/2028;1 947;2 000;7;8 250
TN0008000812;BTA 7,5% 13/12/2028;1 947;2 000;8;8 250
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5 448;0 550;20;7 490
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;110 000;11 000;21;9 100
TN0008000812;BTA 7,5% 13/12/2028;40 651;38 000;90;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19 788;2 000;13;8 990
TN0008000812;BTA 7,5% 13/12/2028;5 255;5 400;30;8 250
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;397;0 401;15;8 250
