ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000622;BTA 6,3% Mars 2026;19 723;20,000;91;8,000
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;65 000;6,500;15;8,600
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;10 000;1,000;15;8,600
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;12 500;1,250;14;8,600
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6 450;0,645;91;8,250
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;25 000;2,500;91;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;13 489;1,450;7;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;18 605;2,000;8;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;55 815;6,000;30;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4 652;0,500;7;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 721;0,400;18;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;106 979;11,500;17;8,500
TN0008000770;BTA 7,3% Decembre 2027;2 288;2,400;7;6,750
