ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000739;BTA 7,4% Fevrier 2030;9 988;10,000;41;8,990
TN0008000739;BTA 7,4% Fevrier 2030;1 398;1,400;89;8,500
TN0008000606;BTA 6,7% Avril 2028;1 892;2,000;30;8,890
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10 000;1,000;61;8,740
TN0008000606;BTA 6,7% Avril 2028;2 554;2,700;30;8,890
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;44 000;4,400;90;9,100
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;44 000;4,400;90;9,100
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;5 000;0,500;359;9,240
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;73 000;7,300;13;9,100
TN0008000812;BTA 7,5% 13/12/2028;212;0,200;50;9,000
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;34 964;3,500;12;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;49 949;5,000;20;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;14 985;1,500;30;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;49 949;5,000;12;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;9 341;0,935;100;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;29 969;3,000;345;8,990
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;14 985;1,500;30;7,490
TN0008000812;BTA 7,5% 13/12/2028;3 312;3,433;15;7,990
TN0008000812;BTA 7,5% 13/12/2028;587;0,608;15;7,990
TN0008000812;BTA 7,5% 13/12/2028;422;0,437;15;7,990
TN0008000812;BTA 7,5% 13/12/2028;290;0,300;30;8,250
