ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7 000;0,718;110;9,090
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19 511;2,000;90;8,990
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;35 337;36,120;5;8,100
TN0008000705;BTA 6,5% Juin 2025;959;1,000;30;8,990
TN0008000747;BTA 7,2% Mai 2027;18 736;19,000;12;8,490
TN0008000747;BTA 7,2% Mai 2027;11 833;11,999;12;8,490
TN0008000747;BTA 7,2% Mai 2027;2 169;2,200;12;8,490
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29 267;3,000;12;8,990
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;62 500;6,250;14;9,100
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;8 700;0,870;14;9,100
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;34 145;3,500;15;8,990
TN0008000747;BTA 7,2% Mai 2027;6 178;6,548;30;8,890
TN0008000721;BTA 7,2% Fevrier 2027;622;0,600;12;9,230
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;10 000;1,000;294;9,190
TN0008000812;BTA 7,5% 13/12/2028;1 633;1,700;30;8,250
