ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;4 891;4,999;202;8,860
TN0008000747;BTA 7,2% Mai 2027;1 425;1,511;29;8,890
TN0008000606;BTA 6,7% Avril 2028;471;0,500;29;7,990
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;24 458;25,000;202;8,860
TNPDPODY2398;EMP NAT 2024 T3 CC TF;16 200;1,620;90;8,750
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;8 972;0,920;20;7,490
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28 429;2,975;60;8,990
TNGNCCQYSMR1;BTA 9.9% decembre 2033;117 088;120,000;39;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;59 600;5,960;14;9,100
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10 500;1,050;14;9,100
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1 951;0,200;82;8,990
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;52 557;5,500;15;8,990
