ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNLRQIP0OJY4;BTA 9% septembre 2029;4 384;5 000;170;8 740
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;177 968;18 000;30;8 990
TNN34MAL82X0;MICROCRED 2024-1 TF;19 000;1 900;30;9 640
TNZW31OFWNB5;MICROCRED 2024-1 TV;7 000;0 700;30;9 640
TNAAGB5WL0L0;BH LEASING 2024-2;4 000;0 400;30;9 640
TN0008000655;BTA 6,6% Mars 2027;4 012;4 001;48;9 000
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23 915;2 550;7;8 000
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;4 946;5 001;30;8 250
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;70 000;7 000;8;9 100
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4 944;0 500;12;8 990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29 662;3 000;16;8 990
TN0008000655;BTA 6,6% Mars 2027;2 508;2 501;30;9 000
TN0008000812;BTA 7,5% 13/12/2028;4 485;4 201;313;9 000
