ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;90 000;9,000;14;8,600
TNVE955M6R90;EMP NAT 2023 T3 CB TF;10 000;1,000;7;8,600
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;120 214;12,600;14;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;4 771;0,500;6;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;95 408;10,000;14;8,500
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;18 368;1,500;77;8,500
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;7 347;0,600;15;8,500
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;7 347;0,600;15;8,500
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;15 298;16,270;93;8,520
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;4 898;0,400;90;8,000
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;146 941;12,000;27;8,500
TNEHPA8HGPD7;BTA 9,45% 13 juillet 2035;1 099;1,100;332;8,540
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;22 041;1,800;14;8,500
TNEHPA8HGPD7;BTA 9,45% 13 juillet 2035;399;0,400;332;8,540
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;8 421;8,850;20;7,650
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;3 000;0,300;20;9,250
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;18 742;2,000;30;8,500
TNEHPA8HGPD7;BTA 9,45% 13 juillet 2035;9 599;9,600;30;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14 057;1,500;20;8,500
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;1 880;1,999;90;8,500
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;9 402;9,999;90;8,500
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;14 695;1,500;20;8,500
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;19 593;2,000;17;8,500
