ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;48 945;5,000;11;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;34 262;3,500;11;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8 027;0,820;21;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2 448;0,250;7;7,490
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;17 131;1,750;14;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;16 642;1,700;14;8,990
TN0008000606;BTA 6,7% Avril 2028;5 200;5,500;29;9,840
TN0008000606;BTA 6,7% Avril 2028;1 141;1,209;30;8,890
TN0008000606;BTA 6,7% Avril 2028;8 496;9,000;30;9,260
TN0008000796;BTA 7,5% Janvier 2028;31 589;31,820;30;9,640
TN0008000663;BTA 7,5% Juillet 2032;1 617;1,500;60;9,000
TN0008000812;BTA 7,5% 13/12/2028;1 586;1,500;60;9,000
TNPDPODY2398;EMP NAT 2024 T3 CC TF;76 000;7,600;11;9,100
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;9 700;0,970;11;9,100
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5 000;0,500;8;9,100
TN0008000721;BTA 7,2% Fevrier 2027;4 151;4,000;302;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;83 207;8,500;21;8,990
TN0008000812;BTA 7,5% 13/12/2028;530;0,550;8;8,250
TN0008000812;BTA 7,5% 13/12/2028;241;0,250;8;8,250
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 427;0,350;23;8,990
TN0008000812;BTA 7,5% 13/12/2028;270;0,280;8;8,250
TN0008000812;BTA 7,5% 13/12/2028;1 300;1,350;8;8,250
TN0008000812;BTA 7,5% 13/12/2028;3 369;3,500;8;8,250
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;54 819;5,600;114;9,840
