ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1487;1,499;90;9,0
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23493;2,5;7;8,0
TN0008000747;BTA 7,2% Mai 2027;7004;7,0;62;8,75
TN0008000721;BTA 7,2% Fevrier 2027;894;1,0;6;8,25
TN0008000721;BTA 7,2% Fevrier 2027;6255;7,0;21;8,25
TN0008000721;BTA 7,2% Fevrier 2027;5361;6,0;20;8,25
TN0008000721;BTA 7,2% Fevrier 2027;5361;6,0;17;8,25
TN0008000747;BTA 7,2% Mai 2027;57272;57,239;30;8,75
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29690;3,0;24;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3959;0,4;28;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4949;0,5;28;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14845;1,5;31;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4949;0,5;31;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2969;0,3;7;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9897;1,0;90;8,99
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;2400;0,24;13;9,6
