ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNNR35P1MXQ0;BTC 52 semaines 02052025;28 813;28,254;11;8,100
TN0008000655;BTA 6,6% Mars 2027;5 994;6,000;28;9,000
TNPDPODY2398;EMP NAT 2024 T3 CC TF;65 000;6,500;25;9,950
TN0008000812;BTA 7,5% 13/12/2028;1 064;1,000;11;9,230
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5 510;0,560;127;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;54 111;5,500;14;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2 952;0,300;32;8,490
TN0008000655;BTA 6,6% Mars 2027;1 998;2,000;15;8,990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19 677;2,000;15;8,990
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;15 500;1,550;11;9,090
TN0008000747;BTA 7,2% Mai 2027;1 794;1,890;89;8,900
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23 824;2,550;7;8,000
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;16 726;1,700;20;8,990
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7 500;0,750;47;9,600
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;28 531;2,900;32;8,990
TN0008000655;BTA 6,6% Mars 2027;1 499;1,501;29;8,990
