ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;5700;0,596;93;8,1
TNX0K9990B08;EMP NAT 2024 T2 CB TF;17927;1,8;71;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;39837;4,0;20;8,5
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;55700;5,57;19;8,6
TNPDPODY2398;EMP NAT 2024 T3 CC TF;14700;1,47;9;8,6
TN0008000622;BTA 6,3% Mars 2026;2747;2,781;30;8,4
TN0008000622;BTA 6,3% Mars 2026;2035;2,06;30;8,4
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2988;0,3;103;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10955;1,1;33;8,5
TN0008000812;BTA 7,5% 13/12/2028;920;0,92;90;8,15
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;20000;2,0;90;8,15
