ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000721;BTA 7,2% Fevrier 2027;1 000;1 000;28;9 660
TN0008000770;BTA 7,3% Decembre 2027;4 869;5 000;42;8 250
TN0008000721;BTA 7,2% Fevrier 2027;2 610;2 761;30;8 810
TN0008000721;BTA 7,2% Fevrier 2027;2 017;2 045;30;8 810
TN0008000812;BTA 7,5% 13/12/2028;220;0 211;91;8 500
TN0008000812;BTA 7,5% 13/12/2028;303;0 290;91;8 500
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;8 000;0 800;11;8 990
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;100 000;10 000;11;8 990
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;2 395;2 302;30;8 660
TN0008000580;BTA 6,3% Octobre 2026;36 260;35 920;91;8 530
TN0008000812;BTA 7,5% 13/12/2028;619;0 650;42;8 250
TN0008000812;BTA 7,5% 13/12/2028;3 284;3 448;14;7 910
TN0008000812;BTA 7,5% 13/12/2028;587;0 616;14;7 910
TN0008000812;BTA 7,5% 13/12/2028;538;0 565;14;7 910
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5 811;5 999;11;7 500
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;116 230;119 999;39;8 000
TN0008000622;BTA 6,3% Mars 2026;1 032;1 016;60;8 000
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2 228;2 300;30;7 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2 899;0 300;11;8 910
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14 492;1 500;25;7 410
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6 280;0 650;14;8 410
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 661;1 000;14;8 910
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;12 560;1 300;11;8 910
