ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNX0K9990B08;EMP NAT 2024 T2 CB TF;24588;2,5;9;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5901;0,6;30;7,75
TNX0K9990B08;EMP NAT 2024 T2 CB TF;3934;0,4;30;7,75
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;15500;1,55;10;8,75
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;15000;1,5;10;8,75
TNX0K9990B08;EMP NAT 2024 T2 CB TF;22621;2,3;106;8,5
TN0008000747;BTA 7,2% Mai 2027;14379;13,989;91;8,51
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;20400;2,04;9;8,6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;91000;9,1;16;8,6
TN0008000747;BTA 7,2% Mai 2027;513;0,499;30;8,5
TN0008000762;BTA 8% Novembre 2030;2042;2,0;30;8,5
TN0008000762;BTA 8% Novembre 2030;1021;1,0;30;8,5
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;3940;0,394;30;8,15
TNX0K9990B08;EMP NAT 2024 T2 CB TF;15736;1,6;21;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19670;2,0;30;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9835;1,0;30;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;14427;1,5;21;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;67324;7,0;21;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14753;1,5;30;7,0
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4918;0,5;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4918;0,5;106;8,5
TNVE955M6R90;EMP NAT 2023 T3 CB TF;30000;3,0;30;8,0
TNVE955M6R90;EMP NAT 2023 T3 CB TF;20000;2,0;30;8,0
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;18700;2,0;1;7,5
TN0008000838;EMP NAT T1 2021 CB;27770;3,0;1;7,5
TN0008000747;BTA 7,2% Mai 2027;7194;6,999;91;8,2
