ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;40000;4,0;184;8,5
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;380;0,4;124;7,8
TN0008000721;BTA 7,2% Fevrier 2027;100;0,1;28;9,5
TN0008000721;BTA 7,2% Fevrier 2027;900;0,9;28;9,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;64313;6,5;351;9,95
TN0008000622;BTA 6,3% Mars 2026;15060;14,999;12;7,5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10000;1,0;12;8,6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;90000;9,0;19;8,6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9895;1,0;29;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;42546;4,3;8;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14842;1,5;15;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;49472;5,0;30;8,5
