ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;14 000;1 400;10;8 750
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;16 000;1 600;10;8 750
TNVE955M6R90;EMP NAT 2023 T3 CB TF;10 000;1 000;7;8 600
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;58 000;5 800;12;8 600
TN0008000762;BTA 8% Novembre 2030;476;0 500;90;8 000
TNL8PGUB9C93;AMEN BANK SUB 2023-2 CA TV;13 750;1 100;31;9 250
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;9 000;0 900;31;9 250
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;20 000;2 000;20;9 250
TNX0K9990B08;EMP NAT 2024 T2 CB TF;529 181;54 000;180;9 950
TN0008000762;BTA 8% Novembre 2030;3 052;3 001;25;8 500
TN0008000812;BTA 7,5% 13/12/2028;246;0 265;31;7 750
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;28 753;3 000;25;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4 900;0 500;10;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 800;1 000;31;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;7 840;0 800;31;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;78 398;8 000;21;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 800;1 000;186;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 800;1 000;24;8 500
TNMUZFAMCT05;BTCT 52 semaines 14102025;44 152;43 119;31;8 350
