ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;1907;2,001;7;6,75
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;3813;4,0;91;7,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;30000;3,0;10;8,75
TN0008000739;BTA 7,4% Fevrier 2030;1943;2,0;8;8,5
TN0008000739;BTA 7,4% Fevrier 2030;31579;30,0;91;8,5
TN0008000739;BTA 7,4% Fevrier 2030;31579;30,0;120;8,55
TN0008000739;BTA 7,4% Fevrier 2030;1052;0,999;91;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;13870;1,45;7;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;191299;20,0;14;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;114779;12,0;14;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;4783;0,5;4;8,5
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;10000;1,0;9;8,6
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;53500;5,35;15;8,6
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;120518;12,6;8;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;95650;10,0;8;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;24869;2,6;10;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;65754;7,0;21;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14091;1,5;21;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;105214;11,0;24;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;8609;0,9;10;8,5
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;10000;1,0;91;8,35
