ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9917;1,0;31;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14876;1,5;10;8,99
TN0008000622;BTA 6,3% Mars 2026;2601;3,0;45;8,49
TN0008000622;BTA 6,3% Mars 2026;867;1,0;45;8,49
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;10000;1,0;31;9,0
TN0008000747;BTA 7,2% Mai 2027;6682;7,001;60;8,5
TN0008000580;BTA 6,3% Octobre 2026;1971;2,001;76;7,99
TN0008000580;BTA 6,3% Octobre 2026;6403;6,5;76;7,99
TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;2869;0,3;24;8,99
TN0008000580;BTA 6,3% Octobre 2026;2956;3,001;76;7,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;1984;0,2;20;7,49
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4959;0,5;20;7,49
TN0008000739;BTA 7,4% Fevrier 2030;1874;2,0;21;7,5
TN0008000580;BTA 6,3% Octobre 2026;493;0,5;10;7,99
TN0008000747;BTA 7,2% Mai 2027;24538;24,5;60;8,99
TN0008000812;BTA 7,5% 13/12/2028;1949;2,0;31;8,25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;495;0,499;74;8,7
TN0008000721;BTA 7,2% Fevrier 2027;4472;5,0;20;8,25
TN0008000721;BTA 7,2% Fevrier 2027;1342;1,5;10;8,25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1487;1,499;74;8,7
TN0008000721;BTA 7,2% Fevrier 2027;4472;5,0;19;8,25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;991;0,999;45;8,35
TN0008000721;BTA 7,2% Fevrier 2027;4472;5,0;18;8,25
TN0008000762;BTA 8% Novembre 2030;751;0,7;10;9,24
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3967;0,4;90;8,99
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;10000;1,0;10;9,6
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;495;0,499;25;8,3
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;495;0,499;40;8,4
TN0008000580;BTA 6,3% Octobre 2026;395;0,401;10;7,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;25784;2,6;17;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4959;0,5;40;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4463;0,45;13;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;79334;8,0;18;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5951;5,999;75;8,75
