ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000762;BTA 8% Novembre 2030;770;0 800;36;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 572;1 000;5;8 500
TN0008000762;BTA 8% Novembre 2030;4 153;3 999;90;8 500
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;5 000;0 500;30;8 150
TNVE955M6R90;EMP NAT 2023 T3 CB TF;35 000;3 500;30;8 150
TNPDPODY2398;EMP NAT 2024 T3 CC TF;3 000;0 300;120;8 500
TN0008000812;BTA 7,5% 13/12/2028;387;0 410;8;7 500
TN0008000762;BTA 8% Novembre 2030;1 557;1 499;90;8 500
TN0008000838;EMP NAT T1 2021 CB;3 800;0 380;20;9 500
TN0008000739;BTA 7,4% Fevrier 2030;6 452;5 999;90;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;23 929;2 500;8;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5 743;0 600;30;7 750
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5 743;0 600;30;7 750
TN0008000762;BTA 8% Novembre 2030;1 557;1 499;90;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;33 500;3 500;20;8 500
