ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9820;1,0;9;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14730;1,5;10;8,99
TN0008000655;BTA 6,6% Mars 2027;998;1,001;15;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9820;1,0;15;8,99
TN0008000747;BTA 7,2% Mai 2027;1422;1,5;30;8,89
TN0008000663;BTA 7,5% Juillet 2032;479;0,5;90;8,1
TN0008000622;BTA 6,3% Mars 2026;472;0,5;6;8,99
TN0008000622;BTA 6,3% Mars 2026;377;0,4;9;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;50000;5,0;13;9,1
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3928;0,4;17;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;73647;7,5;15;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3928;0,4;20;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10000;1,0;13;9,1
