ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;16189;1,7;92;9,84
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;190455;20,0;30;8,99
TN0008000580;BTA 6,3% Octobre 2026;242;0,25;153;7,9
TN0008000580;BTA 6,3% Octobre 2026;971;1,0;92;9,84
TN0008000580;BTA 6,3% Octobre 2026;388;0,4;14;8,99
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;62000;6,2;16;9,1
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;18000;1,8;16;9,1
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9523;1,0;14;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;76182;8,0;20;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;95228;10,0;20;8,99
TN0008000812;BTA 7,5% 13/12/2028;18915;18,001;20;8,99
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;8000;0,8;92;9,75
