ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;16500;1,65;29;7,75
TN0008000663;BTA 7,5% Juillet 2032;327;0,35;18;7,25
TN0008000580;BTA 6,3% Octobre 2026;2401;2,501;60;7,5
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;30000;3,0;18;8,6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;34000;3,4;18;8,6
TN0008000812;BTA 7,5% 13/12/2028;614;0,6;11;8,23
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;14000;1,4;11;8,6
TN0008000762;BTA 8% Novembre 2030;11249;11,001;18;8,5
TN0008000762;BTA 8% Novembre 2030;4806;4,7;18;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;46291;4,7;18;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;16744;1,7;33;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;108341;11,0;18;8,5
TN0008000747;BTA 7,2% Mai 2027;514;0,5;90;8,02
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14774;1,5;33;8,5
TN0008000747;BTA 7,2% Mai 2027;2674;2,599;90;8,02
