ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;5 000;0,500;323;9,400
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;10 000;1,000;323;9,490
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;15 500;1,550;11;9,090
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;396;0,400;20;8,100
TN0008000812;BTA 7,5% 13/12/2028;1 391;1,301;319;9,380
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;13 537;13,670;90;9,000
TN0008000739;BTA 7,4% Fevrier 2030;935;1,000;15;8,990
TN0008000739;BTA 7,4% Fevrier 2030;5 615;6,000;25;8,990
TN0008000812;BTA 7,5% 13/12/2028;2 919;3,000;32;8,250
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;1 187;0,120;320;8,990
TN0008000739;BTA 7,4% Fevrier 2030;467;0,500;5;8,990
TN0008000739;BTA 7,4% Fevrier 2030;467;0,500;11;8,990
