ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000747;BTA 7,2% Mai 2027;7 205;6 999;90;8 200
TNX0K9990B08;EMP NAT 2024 T2 CB TF;88 672;9 000;20;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;29 558;3 000;20;8 500
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;58 000;5 800;20;8 600
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10 000;1 000;9;8 600
TN0008000747;BTA 7,2% Mai 2027;3 088;3 000;30;7 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;88 672;9 000;30;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 853;1 000;17;8 500
TNMUZFAMCT05;BTCT 52 semaines 14102025;411;0 400;90;7 700
TNMUZFAMCT05;BTCT 52 semaines 14102025;513;0 499;94;7 700
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10 838;1 100;20;8 500
TN0008000747;BTA 7,2% Mai 2027;308;0 299;90;8 020
TN0008000747;BTA 7,2% Mai 2027;5 352;5 199;90;8 020
TN0008000747;BTA 7,2% Mai 2027;308;0 299;90;8 020
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14 779;1 500;30;7 000
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4 927;0 500;30;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19 705;2 000;178;8 500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2 956;0 300;7;7 000
TN0008000812;BTA 7,5% 13/12/2028;1 772;1 900;10;7 500
TN0008000812;BTA 7,5% 13/12/2028;4 010;4 300;10;7 500
TN0008000812;BTA 7,5% 13/12/2028;187;0 200;10;7 500
TN0008000812;BTA 7,5% 13/12/2028;9 200;9 000;30;9 100
TN0008000812;BTA 7,5% 13/12/2028;588;0 630;10;7 500
TN0008000812;BTA 7,5% 13/12/2028;533;0 571;10;7 500
TN0008000812;BTA 7,5% 13/12/2028;581;0 623;10;7 500
TN0008000812;BTA 7,5% 13/12/2028;3 250;3 485;10;7 500
TN0008000812;BTA 7,5% 13/12/2028;4 089;4 000;30;9 100
TN0008000812;BTA 7,5% 13/12/2028;3 264;3 500;10;7 500
