ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;15000,0;1,5;244,0;8,5
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;40000,0;4,0;244,0;8,5
TN0008000622;BTA 6,3% Mars 2026;9705,0;9,504;80,0;8,1
TN0008000747;BTA 7,2% Mai 2027;845,0;0,9;31,0;7,75
TN0008000747;BTA 7,2% Mai 2027;1127,0;1,2;31,0;7,75
TN0008000663;BTA 7,5% Juillet 2032;2845,0;3,0;82,0;9,5
TN0008000762;BTA 8% Novembre 2030;43450,0;44,76;90,0;8,5
TN0008000747;BTA 7,2% Mai 2027;4659,0;4,96;10,0;7,4
TN0008000812;BTA 7,5% 13/12/2028;12385,0;11,801;26,0;8,91
TN0008000747;BTA 7,2% Mai 2027;469,0;0,5;25,0;7,5
TN0008000721;BTA 7,2% Fevrier 2027;18330,0;17,8;31,0;8,91
TNX0K9990B08;EMP NAT 2024 T2 CB TF;75000,0;7,5;14,0;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8163,0;0,84;31,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;12244,0;1,26;31,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;98140,0;10,1;26,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19434,0;2,0;31,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;16519,0;1,7;26,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;38868,0;4,0;31,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29151,0;3,0;3,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19434,0;2,0;14,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;36924,0;3,8;31,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19434,0;2,0;10,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29151,0;3,0;13,0;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19411,0;2,0;10,0;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2537,0;0,261;6,0;7,41
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9706,0;1,0;17,0;8,91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;77644,0;8,0;31,0;8,91
TN0008000739;BTA 7,4% Fevrier 2030;62048,0;56,999;94,0;8,5
TN0008000739;BTA 7,4% Fevrier 2030;15254,0;13,999;28,0;8,5
TN0008000747;BTA 7,2% Mai 2027;5912,0;6,0;31,0;8,91
