ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14147;1,5;4;9,84
TN0008000770;BTA 7,3% Decembre 2027;1540;1,6;31;8,5
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;2095;2,1;355;8,53
TN0008000606;BTA 6,7% Avril 2028;1034;0,98;20;7,25
TNVE955M6R90;EMP NAT 2023 T3 CB TF;6000;0,6;31;9,25
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;47156;5,0;10;8,5
TN0008000606;BTA 6,7% Avril 2028;790;0,8;5;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;54500;5,45;17;8,6
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;2794;2,8;355;8,53
TN0008000622;BTA 6,3% Mars 2026;246;0,25;31;8,9
TNVE955M6R90;EMP NAT 2023 T3 CB TF;3000;0,3;17;8,6
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;13500;1,35;12;8,6
TNVE955M6R90;EMP NAT 2023 T3 CB TF;2000;0,2;10;9,5
TN0008000812;BTA 7,5% 13/12/2028;586;0,63;10;7,5
TN0008000812;BTA 7,5% 13/12/2028;1209;1,3;31;7,75
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;18700;2,0;3;7,5
TN0008000838;EMP NAT T1 2021 CB;27700;3,0;3;7,5
TN0008000812;BTA 7,5% 13/12/2028;186;0,2;10;7,5
TN0008000812;BTA 7,5% 13/12/2028;532;0,572;12;7,5
TN0008000812;BTA 7,5% 13/12/2028;581;0,624;12;7,5
TN0008000812;BTA 7,5% 13/12/2028;3206;3,447;12;7,5
