ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000747;BTA 7,2% Mai 2027;572;0,6;90;8,5
TN0008000697;BTA 7% Juillet 2028;1048;1,001;30;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;22827;2,3;10;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;49624;5,0;16;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9925;1,0;27;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;30305;30,524;7;8,15
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;4964;5,0;90;9,15
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1985;1,999;30;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;7942;7,999;181;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1985;1,999;181;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;8935;9,0;181;8,99
TNPDPODY2398;EMP NAT 2024 T3 CC TF;30000;3,0;65;9,0
TNPDPODY2398;EMP NAT 2024 T3 CC TF;10000;1,0;77;9,0
TNPDPODY2398;EMP NAT 2024 T3 CC TF;15000;1,5;78;9,0
TN0008000812;BTA 7,5% 13/12/2028;536;0,5;30;9,09
TNLRQIP0OJY4;BTA 9% septembre 2029;5008;5,0;20;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4963;0,5;13;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;6948;0,7;7;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;49624;5,0;20;8,99
TN0008000762;BTA 8% Novembre 2030;1979;2,001;125;8,99
TN0008000762;BTA 8% Novembre 2030;3957;4,0;127;8,99
TN0008000580;BTA 6,3% Octobre 2026;1972;2,001;20;7,99
TN0008000721;BTA 7,2% Fevrier 2027;6266;7,0;15;8,25
TNPDPODY2398;EMP NAT 2024 T3 CC TF;70000;7,0;15;9,1
TN0008000721;BTA 7,2% Fevrier 2027;7608;8,5;16;8,25
TN0008000721;BTA 7,2% Fevrier 2027;717;0,8;6;8,25
TN0008000770;BTA 7,3% Decembre 2027;845;0,8;23;9,0
TN0008000606;BTA 6,7% Avril 2028;517;0,5;30;9,09
