ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000812;BTA 7,5% 13/12/2028;4224;4,0;31;9,2
TN0008000812;BTA 7,5% 13/12/2028;6864;6,501;31;9,2
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9768;1,0;90;9,84
TN0008000747;BTA 7,2% Mai 2027;3575;3,786;31;8,89
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;40144;4,11;31;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;97797;10,0;31;8,99
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;12500;1,302;175;9,09
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;57000;5,7;14;9,1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7500;0,75;14;9,1
TNVE955M6R90;EMP NAT 2023 T3 CB TF;10000;1,0;180;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;24419;2,5;11;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7814;0,8;11;8,99
TN0008000739;BTA 7,4% Fevrier 2030;1631;1,5;342;8,89
