ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;48072;5,0;10;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1931;0,201;90;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;28843;3,0;90;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;52879;5,5;90;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;52500;5,25;16;8,6
TNVE955M6R90;EMP NAT 2023 T3 CB TF;10000;1,0;10;8,6
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;67300;7,0;10;8,5
TN0008000747;BTA 7,2% Mai 2027;11916;12,0;133;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;4808;0,5;7;8,5
TN0008000838;EMP NAT T1 2021 CB;18700;2,0;1;7,5
TN0008000838;EMP NAT T1 2021 CB;27700;3,0;1;7,5
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;3492;3,9;358;8,5
