ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000655;BTA 6,6% Mars 2027;4365;4,2;322;8,1
TN0008000812;BTA 7,5% 13/12/2028;4145;4,001;32;9,1
TN0008000812;BTA 7,5% 13/12/2028;6735;6,501;32;9,1
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4805;0,5;6;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9610;1,0;31;961000,0
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;76876;8,0;90;8,5
TN0008000812;BTA 7,5% 13/12/2028;622;0,6;10;9,23
TNPDPODY2398;EMP NAT 2024 T3 CC TF;50000;5,0;13;8,6
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;50000;5,0;14;8,6
TNPDPODY2398;EMP NAT 2024 T3 CC TF;31500;3,15;17;8,6
TNPDPODY2398;EMP NAT 2024 T3 CC TF;11500;1,15;12;8,6
TN0008000762;BTA 8% Novembre 2030;240;0,25;20;7,25
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9610;1,0;90;8,5
TN0008000622;BTA 6,3% Mars 2026;1100;1,1;300;7,75
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;961;0,1;83;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9610;1,0;14;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;17297;1,8;33;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;81680;8,5;17;8,5
TN0008000762;BTA 8% Novembre 2030;3640;3,5;10;7,6
