ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN7PM93UZP50;EMP NAT 2022 T4 CB TV;60000;6,0;134;10,49
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;2000;0,2;12;9,25
TN0008000606;BTA 6,7% Avril 2028;985;1,0;4;8,5
TN0008000762;BTA 8% Novembre 2030;43540;45,711;32;8,55
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;53200;5,32;15;8,6
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;50000;5,0;14;8,6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19580;2,0;11;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;101366;10,354;11;8,5
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;20000;2,0;11;8,6
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;15500;1,55;8;8,6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14685;1,5;11;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6500;0,65;34;8,15
TNX0K9990B08;EMP NAT 2024 T2 CB TF;69509;7,1;32;8,5
TN0008000838;EMP NAT T1 2021 CB;27700;3,0;1;7,5
TN0008000895;EMPRUNT NATIONAL 2021 T2 CB;18700;2,0;1;7,5
TN0008000812;BTA 7,5% 13/12/2028;1017;1,0;11;8,23
TN0008000812;BTA 7,5% 13/12/2028;1855;2,0;29;7,75
