0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0006060016;STAR (AA);Dividende;19,38;;;;;;;;
;TN4SCYEXIVY5;TLF 2024-1 TF;Remboursement partiel;8,80;;;;;;;;
;TN4SCYEXIVY5;TLF 2024-1 TF;Paiement de coupons;4,66;;;;;;;;
;TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;Paiement de coupons;17,95;;;;;;;;
;TNDRFUSQRGB4;EMP NAT 2023 T2 CC TV;Paiement de coupons;6,12;;;;;;;;
;TNHOFRXHSG72;EMP NAT 2023 T2 CA TV;Paiement de coupons;0,04;;;;;;;;
;TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;Paiement de coupons;48,53;;;;;;;;
;TNNI3UPDYO12;EMP NAT 2023 T2 CA TF;Paiement de coupons;0,40;;;;;;;;
;TNNZ2M9ZHIT3;EMP NAT 2023 T2 CC TF;Paiement de coupons;9,11;;;;;;;;
;TNUSNP2H8PH1;TLF 2024-1 TV;Remboursement partiel;1,20;;;;;;;;
;TNUSNP2H8PH1;TLF 2024-1 TV;Paiement de coupons;0,63;;;;;;;;
