0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35
;N0008000838;;;EMP NAT T1 2021 CB;;;0;;;-;;;0;;;;;;0,000;;;;;;;;;-;;;-;;;-;
TN0008000895;"EMPRUNT NATIONAL 2021T2 CB";0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN5QHXZ8T348;EMP NAT 2021 T3 CB TV;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNYZO6UGUZ33;EMP NAT 2021 T3 CB TF;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNJ1M1ZAWYG5;EMP NAT 2022 T2 CA TF;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNQCK0BPZ5A4;EMP NAT 2022 T2 CA TV;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000846;EMP NAT T1 2021 CC;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000903;"EMPRUNT NATIONAL 2021T2 CC";0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3QL5M1QLW6;EMP NAT 2021 T3 CC TF;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNJP2LP1CVE1;EMP NAT 2021 T3 CC TV;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNGVARQJO7Y7;EMP NAT 2023 T4 CA TF;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0OU20VQYS5;EMP NAT 2022 T1 CB TV;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNFOOWIRG8H7;EMP NAT 2022 T2 CB TV;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNBDWIX8EYF6;EMP NAT 2024 T3 CA TF;1;-;182;;1,820;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN0JN6PVVH38;EMP NAT 2022 T3 CB TV;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNRGVSC8DE36;EMP NAT 2022 T3 CB TF;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN7PM93UZP50;EMP NAT 2022 T4 CB TV;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNWRCVSYL730;EMP NAT 2022 T4 CB TF;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
TNCGJF5TW027;EMP NAT 2023 T1 CB TF;0;-;0;;0,000;-;-;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;
