0;1;2;3;4;5;6;7;8;9;10;11
TNCGJF5TW027;EMP NAT 2023 T1 CB TF;0;-;0;;0,000;-;-;-;-;-
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;0;-;0;-;0,000;-;-;-;-;-
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;0;-;0;-;0,000;-;-;-;-;-
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;0;-;0;-;0,000;-;-;-;-;-
TNVE955M6R90;EMP NAT 2023 T3 CB TF;0;-;0;-;0,000;-;-;-;-;-
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;0;-;0;-;0,000;-;-;-;-;-
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;0;-;0;-;0,000;-;-;-;-;-
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;4;-;355 000;-;35 500,000;-;-;-;-;-
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;30;-;2 320 000;-;232 000,000;-;-;-;-;-
TNX0K9990B08;EMP NAT 2024 T2 CB TF;32;-;2 658 300;-;265 830,000;-;-;-;-;-
TNC6WBFURIQ8;EMP NAT 2024 T2 CB TV;7;-;811 000;-;81 100,000;-;-;-;-;-
TNAO0T7V1X56;EMP NAT 2024 T3 CB TV;2;-;140 000;-;14 000,000;-;-;-;-;-
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;27;-;2 488 000;-;248 800,000;-;-;-;-;-
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;28;-;2 892 500;-;289 250,000;-;-;-;-;-
TN45VKDAPM79;EMP NAT 2024 T4 CB TV;3;-;180 000;-;18 000,000;-;-;-;-;-
TN5XXZZ454U2;EMP NAT 2022 T1 CC TF;0;-;0;-;0,000;-;-;-;-;-
TNQHMI7RIBR5;EMP NAT 2022 T1 CC TV;0;-;0;-;0,000;-;-;-;-;-
TN11TIB0EPV4;EMP NAT 2022 T2 CC TV;0;-;0;-;0,000;-;-;-;-;-
TNI9EO2MTU05;EMP NAT 2022 T2 CC TF;0;-;0;-;0,000;-;-;-;-;-
TN4A4WPDZOC1;EMP NAT 2022 T3 CC TF;0;-;0;-;0,000;-;-;-;-;-
TNIZ090I5G66;EMP NAT 2022 T3 CC TV;0;-;0;-;0,000;-;-;-;-;-
TNEFCT8MXYZ3;EMP NAT 2022 T4 CC TF;0;-;0;-;0,000;-;-;-;-;-
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;0;-;0;-;0,000;-;-;-;-;-
TNHZAONAPWF9;EMP NAT 2023 T1 CC TV;0;-;0;-;0,000;-;-;-;-;-
TNTKTEO5CIW5;EMP NAT 2023 T1 CC TF;0;-;0;-;0,000;-;-;-;-;-
TNDRFUSQRGB4;EMP NAT 2023 T2 CC TV;0;-;0;-;0,000;-;-;-;-;-
TNNZ2M9ZHIT3;EMP NAT 2023 T2 CC TF;0;-;0;-;0,000;-;-;-;-;-
TN0LAJZU8LX6;EMP NAT 2023 T3 CC TV;0;-;0;-;0,000;-;-;-;-;-
TNDSN3G1YQE9;EMP NAT 2023 T3 CC TF;0;-;0;-;0,000;-;-;-;-;-
TN10K3C5R1G1;EMP NAT 2023 T4 CC TV;0;-;0;-;0,000;-;-;-;-;-
TNBSXXEKBFR8;EMP NAT 2023 T4 CC TF;0;-;0;-;0,000;-;-;-;-;-
TN85TI1TIY25;EMP NAT 2024 T1 CC TV;3;-;53 000;-;5 300,000;-;-;-;-;-
TNRLFZ5FIX29;EMP NAT 2024 T1 CC TF;4;-;1 008 200;-;100 820,000;-;-;-;-;-
TN5WI26K4ER0;EMP NAT 2024 T2 CC TF;9;-;1 516 000;-;151 600,000;-;-;-;-;-
TNPDPODY2398;EMP NAT 2024 T3 CC TF;12;-;2 499 350;-;249 935,000;-;-;-;-;-
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;18;-;3 105 000;-;310 500,000;-;-;-;-;-
