0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
;N0008000838;;;;EMP NAT T1 2021 CB;;;0;;;0;;;0;;;0;;;0,000;;;0,000;;;;0,00%;;;0,00%;;;0,00%;;;1/07/2021;
TN0008000895;;"EMPRUNT NATIONAL 2021T2 CB";0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;26/08/2021;;;;;;;;;;;;;;;;;;;;;;;;
TN5QHXZ8T348;;EMP NAT 2021 T3 CB TV;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;17/11/2021;;;;;;;;;;;;;;;;;;;;;;;;
TNYZO6UGUZ33;;EMP NAT 2021 T3 CB TF;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;17/11/2021;;;;;;;;;;;;;;;;;;;;;;;;
TNJ1M1ZAWYG5;;EMP NAT 2022 T2 CA TF;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;15/06/2022;;;;;;;;;;;;;;;;;;;;;;;;
TNQCK0BPZ5A4;;EMP NAT 2022 T2 CA TV;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;15/06/2022;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000846;;EMP NAT T1 2021 CC;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;01/07/2021;;;;;;;;;;;;;;;;;;;;;;;;
TN0008000903;;"EMPRUNT NATIONAL 2021T2 CC";0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;26/08/2021;;;;;;;;;;;;;;;;;;;;;;;;
TN3QL5M1QLW6;;EMP NAT 2021 T3 CC TF;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;17/11/2021;;;;;;;;;;;;;;;;;;;;;;;;
TNJP2LP1CVE1;;EMP NAT 2021 T3 CC TV;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;17/11/2021;;;;;;;;;;;;;;;;;;;;;;;;
TNGVARQJO7Y7;;EMP NAT 2023 T4 CA TF;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;07/12/2023;;;;;;;;;;;;;;;;;;;;;;;;
TN0OU20VQYS5;;EMP NAT 2022 T1 CB TV;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;18/03/2022;;;;;;;;;;;;;;;;;;;;;;;;
TNHG2VXQ3BG0;;EMP NAT 2022 T1 CB TF;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;18/03/2022;;;;;;;;;;;;;;;;;;;;;;;;
TNFOOWIRG8H7;;EMP NAT 2022 T2 CB TV;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;15/06/2022;;;;;;;;;;;;;;;;;;;;;;;;
TNQVHB5WZ2K2;;EMP NAT 2022 T2 CB TF;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;27/02/2023;;;;;;;;;;;;;;;;;;;;;;;;
TNBDWIX8EYF6;;EMP NAT 2024 T3 CA TF;1;0;182;0;1,820;0,000;;0,00%;0,00%;0,00%;13/09/2024;;;;;;;;;;;;;;;;;;;;;;;;
TN0JN6PVVH38;;EMP NAT 2022 T3 CB TV;0;0;0;0;0,000;0,000;;0,00%;0,00%;0,00%;16/09/2022;;;;;;;;;;;;;;;;;;;;;;;;
