0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
;-;;;Autres Lignes Remboursées;;;0;;;-;;;0;;;-;;;0,000;;;-;;;-;
TN0008000366;BTA 6% AVRIL 2024;8;-;27 058;-;28 378,280;-;-;;;;;;;;;;;;;;;;;;
TN0008000598;BTA 6% Janvier2024;0;-;0;-;0,000;-;-;;;;;;;;;;;;;;;;;;
TN4ZTA1Z0S86;BTC 13 semaines 24012024;0;-;0;-;0,000;-;-;;;;;;;;;;;;;;;;;;
TN54ZITRQAO2;BTC 52 semaines 10012024;0;-;0;-;0,000;-;-;;;;;;;;;;;;;;;;;;
TN67G6AEOIA0;BTCT 13 semaines 13022024;0;-;0;-;0,000;-;-;;;;;;;;;;;;;;;;;;
TN6ZK346S2D1;BTCT 13 semaines 25092024;5;-;39 900;-;39 190,327;-;-;;;;;;;;;;;;;;;;;;
TN7GV09RSRV9;BTCT 52 semaines 13122024;0;-;0;-;0,000;-;-;;;;;;;;;;;;;;;;;;
TN7WREFO3TO7;BTC 26 semaines 16042024;3;-;6 620;-;6 537,620;-;-;;;;;;;;;;;;;;;;;;
TN9CYKXWXTA6;BTC 26 semaines 06022024;0;-;0;-;0,000;-;-;;;;;;;;;;;;;;;;;;
TN9VDZ7SPHV1;BTCT 26 semaines 18122024;10;-;1 000 000;-;0,000;-;-;;;;;;;;;;;;;;;;;;
TNACTQ90OG06;BTC 13 semaines 02052024;0;-;0;-;0,000;-;-;;;;;;;;;;;;;;;;;;
TNC3BEPIHLU4;BTCT 26 semaines 14062024;1;-;6 000;-;5 947,673;-;-;;;;;;;;;;;;;;;;;;
