0;1;2;3;4;5;6;7;8;9;10;11;12
;;ISIN;;;Libellé;;;Type;;;Montant (MDT);
;TN0001100254;SFBT (AA);Dividende;107,53;;;;;;;;
;TN0S9Z1I0G78;BIAT SUB 2022-1 CA TF;Remboursement partiel;0,26;;;;;;;;
;TN0S9Z1I0G78;BIAT SUB 2022-1 CA TF;Paiement de coupons;0,07;;;;;;;;
;TN2XZZTDCR70;BIAT SUB 2022-1 CA TV;Remboursement partiel;0,46;;;;;;;;
;TN2XZZTDCR70;BIAT SUB 2022-1 CA TV;Paiement de coupons;0,14;;;;;;;;
;TN4IAOG1Z7S3;BIAT SUB 2022-1 CE TV IF;Paiement de coupons;1,00;;;;;;;;
;TN8J8QFA4123;BIAT SUB 2022-1 CD TF;Remboursement partiel;3,56;;;;;;;;
;TN8J8QFA4123;BIAT SUB 2022-1 CD TF;Paiement de coupons;1,64;;;;;;;;
;TN9MG9SI38K0;BIAT SUB 2022-1 CC TV IF;Paiement de coupons;1,52;;;;;;;;
;TNBLRFH96SL4;BIAT SUB 2022-1 CB TF;Remboursement partiel;1,03;;;;;;;;
;TNBLRFH96SL4;BIAT SUB 2022-1 CB TF;Paiement de coupons;0,27;;;;;;;;
;TNDJUT047VF9;BIAT SUB 2022-1 CF TV;Paiement de coupons;6,75;;;;;;;;
;TNFSFT39R800;BIAT SUB 2022-1 CG TF IF;Paiement de coupons;1,40;;;;;;;;
;TNG0JL1IIN67;BIAT SUB 2022-1 CD TV;Remboursement partiel;5,70;;;;;;;;
;TNG0JL1IIN67;BIAT SUB 2022-1 CD TV;Paiement de coupons;3,11;;;;;;;;
;TNGQ611JKPR4;BIAT SUB 2022-1 CF TF;Paiement de coupons;0,62;;;;;;;;
;TNHD4NKEWF69;BIAT SUB 2022-1 CG TV IF;Paiement de coupons;3,08;;;;;;;;
;TNODT4SXV9P9;BIAT SUB 2022-1 CC TF IF;Paiement de coupons;0,80;;;;;;;;
;TNPZ2BZUFO23;BIAT SUB 2022-1 CE TF IF;Paiement de coupons;0,47;;;;;;;;
;TNUALDKV3BS3;BIAT SUB 2022-1 CB TV;Remboursement partiel;0,05;;;;;;;;
;TNUALDKV3BS3;BIAT SUB 2022-1 CB TV;Paiement de coupons;0,01;;;;;;;;
